Ticker,Name,MarketCap,Sector,Industry
ACHC,"Acadia Healthcare Company, Inc.",2244483840,Healthcare,Medical Care Facilities
DJTWW,Trump Media & Technology Group ,2235342848,Communication Services,Internet Content & Information
PGY,Pagaya Technologies Ltd.,2232752640,Technology,Software - Infrastructure
FORTY,Formula Systems (1985) Ltd.,2215395072,Technology,Information Technology Services
COCO,"The Vita Coco Company, Inc.",2206436352,Consumer Defensive,Beverages - Non-Alcoholic
ETNB,"89bio, Inc.",2194718208,Healthcare,Biotechnology
SOXX,iShares Semiconductor ETF,2191954432,,
PTEN,"Patterson-UTI Energy, Inc.",2189677056,Energy,Oil & Gas Drilling
CCOI,"Cogent Communications Holdings,",2183220480,Communication Services,Telecom Services
BANR,Banner Corporation,2164989952,Financial Services,Banks - Regional
MQ,"Marqeta, Inc.",2155999488,Technology,Software - Infrastructure
NBTB,NBT Bancorp Inc.,2155492608,Financial Services,Banks - Regional
PSIX,"Power Solutions International, ",2153636096,Industrials,Specialty Industrial Machinery
GCMG,GCM Grosvenor Inc.,2152857600,Financial Services,Asset Management
FRME,First Merchants Corporation,2137431296,Financial Services,Banks - Regional
CELC,Celcuity Inc.,2131518080,Healthcare,Biotechnology
PAYO,Payoneer Global Inc.,2131266432,Technology,Software - Infrastructure
OUST,"Ouster, Inc.",2129193728,Technology,Electronic Components
HUBG,"Hub Group, Inc.",2126768256,Industrials,Integrated Freight & Logistics
EYE,"National Vision Holdings, Inc.",2116523392,Consumer Cyclical,Specialty Retail
OSW,OneSpaWorld Holdings Limited,2106833664,Consumer Cyclical,Leisure
ADUS,Addus HomeCare Corporation,2106708608,Healthcare,Medical Care Facilities
EFSC,Enterprise Financial Services C,2091481600,Financial Services,Banks - Regional
KLIC,"Kulicke and Soffa Industries, I",2089471232,Technology,Semiconductor Equipment & Materials
ATEC,"Alphatec Holdings, Inc.",2085091456,Healthcare,Medical Devices
BUSE,First Busey Corporation,2082360960,Financial Services,Banks - Regional
AVDX,"AvidXchange Holdings, Inc.",2076987520,Technology,Software - Infrastructure
IQ,"iQIYI, Inc.",2060732032,Communication Services,Entertainment
FBNC,First Bancorp,2058401664,Financial Services,Banks - Regional
SYBT,"Stock Yards Bancorp, Inc.",2043975552,Financial Services,Banks - Regional
NWL,Newell Brands Inc.,2032635008,Consumer Defensive,Household & Personal Products
APPN,Appian Corporation,2030696704,Technology,Software - Infrastructure
FORD,"Forward Industries, Inc.",2030023552,Consumer Cyclical,Footwear & Accessories
IRDM,Iridium Communications Inc,2025184128,Communication Services,Telecom Services
AVAH,Aveanna Healthcare Holdings Inc,2011672064,Healthcare,Medical Care Facilities
MVST,"Microvast Holdings, Inc.",2009061760,Consumer Cyclical,Auto Parts
EVCM,EverCommerce Inc.,2003130240,Technology,Software - Infrastructure
LFST,"LifeStance Health Group, Inc.",2003022464,Healthcare,Medical Care Facilities
SBLK,Star Bulk Carriers Corp.,2002754688,Industrials,Marine Shipping
ANIP,"ANI Pharmaceuticals, Inc.",2001011968,Healthcare,Drug Manufacturers - Specialty & Generic
